id,state_id,census_id,Geographic Area Name,Estimate!!Households!!Total,Estimate!!Households!!Median income (dollars),Estimate!!Households!!Mean income (dollars),Estimate!!Families!!Total,Estimate!!Families!!Median income (dollars),Estimate!!Families!!Mean income (dollars),Estimate!!Married-couple families!!Total,Estimate!!Married-couple families!!Median income (dollars),Estimate!!Married-couple families!!Mean income (dollars),Estimate!!Nonfamily households!!Total,Estimate!!Nonfamily households!!Median income (dollars),Estimate!!Nonfamily households!!Mean income (dollars)
28078,49,1600000US5430196,"Gary city, West Virginia",280,25385,33669,153,35461,43105,84,58750,0,127,16953,22300
28079,49,1600000US5430220,"Gassaway town, West Virginia",441,40781,51634,240,51111,63632,186,55625,0,201,32132,34817
28080,49,1600000US5430364,"Gauley Bridge town, West Virginia",321,45953,42844,232,46471,45310,152,47344,0,89,33125,35188
28081,49,1600000US5430724,"Ghent CDP, West Virginia",213,94769,103909,168,132635,119018,168,132635,0,45,0,0
28082,49,1600000US5430772,"Gilbert town, West Virginia",193,41250,53001,123,44583,62374,94,75179,0,70,33750,36530
28083,49,1600000US5430777,"Gilbert Creek CDP, West Virginia",513,47708,54259,431,46417,55296,347,47250,0,82,48426,47637
28084,49,1600000US5431324,"Glasgow town, West Virginia",297,45208,60333,166,55192,67219,115,63438,0,131,27019,49311
28085,49,1600000US5431492,"Glen Dale city, West Virginia",641,58942,83720,389,78750,97089,283,91563,0,252,37500,61679
28086,49,1600000US5431732,"Glen Ferris CDP, West Virginia",58,0,70331,45,0,0,45,0,0,13,0,0
28087,49,1600000US5431756,"Glen Fork CDP, West Virginia",132,0,40251,112,49773,42635,112,49773,0,20,0,0
28088,49,1600000US5431876,"Glen Jean CDP, West Virginia",52,0,41963,52,0,41963,41,0,0,0,0,0
28089,49,1600000US5432044,"Glenville town, West Virginia",636,21833,33670,262,32206,41556,147,41250,0,374,13286,27050
28090,49,1600000US5432068,"Glen White CDP, West Virginia",109,36030,33270,109,36030,33270,85,0,0,0,0,0
28091,49,1600000US5432716,"Grafton city, West Virginia",2133,36951,44980,1279,51577,54915,871,52173,0,854,25110,28179
28092,49,1600000US5432884,"Grantsville town, West Virginia",191,29063,49121,113,36875,53602,88,41786,0,78,18333,42451
28093,49,1600000US5432908,"Grant Town town, West Virginia",223,36932,52184,135,50375,53484,107,58068,0,88,21176,49688
