key_id,state_id,id,Geographic Area Name,HouseholdsTotal,HouseholdsMedian income (dollars),HouseholdsMean income (dollars),FamiliesTotal,FamiliesMedian income (dollars),FamiliesMean income (dollars),Married-couple familiesTotal,Married-couple familiesMedian income (dollars),Married-couple familiesMean income (dollars),Nonfamily householdsTotal,Nonfamily householdsMedian income (dollars),Nonfamily householdsMean income (dollars)
174,11,0500000US13139,"Hall County, Georgia",65625,67467,96366,48776,78870,104889,38367,95946,0,16849,36327,67093
175,11,0500000US13151,"Henry County, Georgia",79550,71939,90267,60471,81290,100372,0,101475,0,19079,43928,52624
176,11,0500000US13153,"Houston County, Georgia",58417,66740,77442,39810,75512,89578,0,94680,0,18607,36448,47220
177,11,0500000US13157,"Jackson County, Georgia",25180,65063,84923,19467,81255,99270,0,98067,0,5713,30633,33974
178,11,0500000US13185,"Lowndes County, Georgia",42639,45683,62009,26536,57050,74142,0,73021,0,16103,30235,36631
179,11,0500000US13215,"Muscogee County, Georgia",73134,46934,70702,45689,60420,85434,28165,75999,0,27445,33262,44129
180,11,0500000US13217,"Newton County, Georgia",37867,57254,70273,28095,61017,77642,0,67481,0,9772,31926,39120
181,11,0500000US13223,"Paulding County, Georgia",56476,75800,82879,44021,85763,91406,0,91179,0,12455,39285,48347
182,11,0500000US13245,"Richmond County, Georgia",68361,44973,59361,42363,52580,69551,0,74546,0,25998,31274,38399
183,11,0500000US13247,"Rockdale County, Georgia",32792,60560,78651,23533,66640,85260,0,91908,0,9259,41182,55473
184,11,0500000US13255,"Spalding County, Georgia",25339,51677,68860,16563,59654,78292,0,78854,0,8776,34404,47151
185,11,0500000US13285,"Troup County, Georgia",24436,46198,62990,15354,62837,79831,0,81194,0,9082,25000,31816
186,11,0500000US13295,"Walker County, Georgia",26760,47856,58818,17810,61720,71303,0,67654,0,8950,22170,31865
187,11,0500000US13297,"Walton County, Georgia",33350,66176,82283,25736,77198,90254,0,93067,0,7614,38172,47930
188,11,0500000US13313,"Whitfield County, Georgia",34518,52198,72484,25351,60429,82470,0,70989,0,9167,27445,36870
189,12,0500000US15001,"Hawaii County, Hawaii",71193,67075,88393,46384,82400,98882,33335,95349,0,24809,41821,60347
190,12,0500000US15003,"Honolulu County, Hawaii",316456,87470,111776,216096,101922,125696,158586,115383,139650,100360,57554,73029
191,12,0500000US15007,"Kauai County, Hawaii",22898,81971,100559,16822,96284,111502,0,105503,0,6076,48182,58024
192,12,0500000US15009,"Maui County, Hawaii",54744,80754,99883,36904,90983,107640,27192,96108,0,17840,50666,72218
193,13,0500000US16001,"Ada County, Idaho",184160,72021,96684,123900,88299,113517,98591,98737,125678,60260,43341,59043
194,13,0500000US16005,"Bannock County, Idaho",32010,51989,65404,20323,65688,78752,0,71256,0,11687,30956,39753
195,13,0500000US16019,"Bonneville County, Idaho",40776,64618,84685,28580,72463,98685,0,87198,0,12196,34622,46393
196,13,0500000US16027,"Canyon County, Idaho",77449,58945,71937,57587,66387,80966,41868,75299,0,19862,32472,40130
197,13,0500000US16055,"Kootenai County, Idaho",65283,62579,74659,42983,73909,86842,34135,86383,0,22300,39680,47718
198,13,0500000US16083,"Twin Falls County, Idaho",31850,56276,72044,20827,67233,89790,0,72850,0,11023,28531,36417
199,14,0500000US17001,"Adams County, Illinois",26993,55727,70658,17275,73917,80627,0,78881,0,9718,38390,49850
200,14,0500000US17019,"Champaign County, Illinois",81764,52405,74061,42035,82467,99259,0,102700,0,39729,34505,45820
201,14,0500000US17031,"Cook County, Illinois",1985613,69429,100785,1165793,86915,122459,794254,110800,149274,819820,45497,66678
202,14,0500000US17037,"DeKalb County, Illinois",39330,64131,79542,22971,87104,102111,0,100589,0,16359,30303,43506
203,14,0500000US17043,"DuPage County, Illinois",342195,96403,126800,236594,118053,150552,193976,130418,164543,105601,52399,70052
204,14,0500000US17089,"Kane County, Illinois",182223,84368,107823,130164,99224,122893,100784,110899,0,52059,46687,64250
205,14,0500000US17091,"Kankakee County, Illinois",39583,60923,73666,24945,76663,87130,0,91350,0,14638,38094,46196
206,14,0500000US17093,"Kendall County, Illinois",41364,104858,114034,32056,121597,124446,0,130990,0,9308,62917,73773
207,14,0500000US17097,"Lake County, Illinois",247661,92511,129550,178809,112189,151601,143259,130278,0,68852,45645,67714
208,14,0500000US17099,"LaSalle County, Illinois",45411,59130,71489,27471,75108,89143,0,86739,0,17940,34974,41427
209,14,0500000US17111,"McHenry County, Illinois",112669,88879,108205,83357,102325,119675,67257,112650,0,29312,48791,67412
210,14,0500000US17113,"McLean County, Illinois",65118,68784,88239,39947,97607,114208,31422,106559,0,25171,34599,45529
211,14,0500000US17115,"Macon County, Illinois",42741,50839,69620,24214,75694,91287,0,82121,0,18527,32940,40657
212,14,0500000US17119,"Madison County, Illinois",108104,67440,87113,71967,83190,102087,52392,102228,119460,36137,38043,52641
213,14,0500000US17143,"Peoria County, Illinois",73666,57247,82292,42697,77209,103906,30467,97836,0,30969,34336,48937
214,14,0500000US17161,"Rock Island County, Illinois",60618,58313,70342,36839,74780,85153,26159,87483,0,23779,35433,45732
215,14,0500000US17163,"St. Clair County, Illinois",106156,57169,77996,66773,77640,95483,45690,96718,0,39383,32909,45165
216,14,0500000US17167,"Sangamon County, Illinois",83263,61280,80923,48368,85077,102399,34274,103509,0,34895,41145,49550
217,14,0500000US17179,"Tazewell County, Illinois",53127,65848,78686,33848,81868,96231,27024,93568,0,19279,38949,44370
218,14,0500000US17183,"Vermilion County, Illinois",31154,43111,58935,18168,56233,71363,0,75048,0,12986,32034,38732
219,14,0500000US17197,"Will County, Illinois",230136,90134,108439,168082,103382,123462,133215,117527,136759,62054,47776,61816
220,14,0500000US17199,"Williamson County, Illinois",27650,58097,75721,17971,71472,90536,0,86867,0,9679,34357,45103
221,14,0500000US17201,"Winnebago County, Illinois",114833,59455,73962,74128,70619,86303,51381,87728,0,40705,34387,46827
222,15,0500000US18003,"Allen County, Indiana",146280,56519,76589,93501,70249,93291,68201,85016,0,52779,33912,43306
223,15,0500000US18005,"Bartholomew County, Indiana",30383,72555,87331,19131,85504,104939,0,100280,0,11252,41948,55142
224,15,0500000US18011,"Boone County, Indiana",26803,70813,126100,18793,88914,150989,0,103485,0,8010,46492,66214
225,15,0500000US18019,"Clark County, Indiana",43704,59064,73922,29621,67694,85971,0,85875,0,14083,34442,42785
226,15,0500000US18035,"Delaware County, Indiana",45640,45065,61483,25981,62160,77917,0,77301,0,19659,26910,35562
227,15,0500000US18039,"Elkhart County, Indiana",68553,54531,72420,40844,75244,93089,0,87613,0,27709,30517,39722
228,15,0500000US18043,"Floyd County, Indiana",28544,63219,81305,18913,84369,97034,0,95601,0,9631,37294,47587
229,15,0500000US18053,"Grant County, Indiana",27127,47206,60754,15872,65468,73192,0,75826,0,11255,30142,38041
230,15,0500000US18057,"Hamilton County, Indiana",125328,105062,138826,93599,125903,161021,0,132813,0,31729,51908,69430
231,15,0500000US18059,"Hancock County, Indiana",28985,69392,89907,19455,98705,106566,0,102482,0,9530,40754,52952
232,15,0500000US18063,"Hendricks County, Indiana",61105,85381,108107,42877,96409,123643,0,104665,0,18228,49602,63457
233,15,0500000US18067,"Howard County, Indiana",34151,53440,64442,20896,65189,76813,0,84526,0,13255,34019,40212
234,15,0500000US18081,"Johnson County, Indiana",57160,73651,95661,40046,89426,111258,0,100897,0,17114,41346,54134
235,15,0500000US18085,"Kosciusko County, Indiana",30991,64099,77934,22382,72084,87806,0,80796,0,8609,30651,44537
236,15,0500000US18089,"Lake County, Indiana",190135,57081,77171,125009,72199,92502,81458,95315,113491,65126,31682,44441
237,15,0500000US18091,"LaPorte County, Indiana",43100,56019,73242,28621,71066,84929,0,94685,0,14479,31913,45972
238,15,0500000US18095,"Madison County, Indiana",51164,55142,65461,33450,67712,75572,23579,77349,87489,17714,33575,43271
239,15,0500000US18097,"Marion County, Indiana",379451,50458,71045,197533,67242,90164,133016,83266,108409,181918,35636,48409
240,15,0500000US18105,"Monroe County, Indiana",54053,52453,73462,28187,82201,102427,0,93645,0,25866,27265,39562
241,15,0500000US18109,"Morgan County, Indiana",25863,62862,87745,18244,75094,97920,0,96959,0,7619,36673,55461
242,15,0500000US18127,"Porter County, Indiana",65305,72483,92719,43287,86168,105955,0,97938,0,22018,45402,63275
243,15,0500000US18141,"St. Joseph County, Indiana",105250,53456,74003,64969,70149,90199,46844,83749,105102,40281,31477,43601
244,15,0500000US18157,"Tippecanoe County, Indiana",73916,49352,70167,39022,71821,92316,28640,87993,0,34894,27950,42129
245,15,0500000US18163,"Vanderburgh County, Indiana",75522,51350,72542,45445,67232,91737,32225,83450,108325,30077,31473,41384
246,15,0500000US18167,"Vigo County, Indiana",42193,48013,65988,24929,62877,77933,0,80113,0,17264,28276,42664
247,15,0500000US18177,"Wayne County, Indiana",27561,47944,61176,17967,58052,70938,0,69050,0,9594,34266,40203
248,16,0500000US19013,"Black Hawk County, Iowa",51869,60506,83308,30073,80514,105965,22689,94431,0,21796,40218,48779
249,16,0500000US19049,"Dallas County, Iowa",36878,94885,119627,26259,110124,134010,0,120347,0,10619,57046,75522
250,16,0500000US19061,"Dubuque County, Iowa",38345,62178,80313,22719,78750,99715,0,89601,0,15626,39167,49756
251,16,0500000US19103,"Johnson County, Iowa",60782,66011,99179,34270,98099,131469,0,108584,0,26512,33380,56714
252,16,0500000US19113,"Linn County, Iowa",93843,63559,80404,56748,80428,97454,42887,95191,0,37095,41094,50970
253,16,0500000US19153,"Polk County, Iowa",197731,66918,87952,124332,81970,105131,89803,101491,0,73399,45157,53955
254,16,0500000US19155,"Pottawattamie County, Iowa",37344,60056,72350,24549,68783,81287,0,82720,0,12795,36393,48240
255,16,0500000US19163,"Scott County, Iowa",68534,65122,90210,43518,84554,110915,33268,98812,0,25016,36178,50547
256,16,0500000US19169,"Story County, Iowa",39168,63107,79726,19426,99913,118623,0,106502,0,19742,35346,40726
257,16,0500000US19193,"Woodbury County, Iowa",39733,58945,71578,26742,72779,81801,0,89311,0,12991,31349,43136
258,17,0500000US20015,"Butler County, Kansas",25004,61951,82866,17574,82115,96041,0,92707,0,7430,31259,48977
259,17,0500000US20045,"Douglas County, Kansas",48508,64233,84149,26759,89158,108688,0,100051,0,21749,36783,51565
260,17,0500000US20091,"Johnson County, Kansas",231960,91771,121929,158981,111665,143813,129239,126408,0,72979,56694,71004
261,17,0500000US20103,"Leavenworth County, Kansas",27860,77070,89525,19869,93439,106750,0,105160,0,7991,34291,42292
262,17,0500000US20161,"Riley County, Kansas",25662,50920,66449,11525,73201,94376,0,78862,0,14137,31727,41880
263,17,0500000US20173,"Sedgwick County, Kansas",199517,59716,78411,125972,78281,96600,92851,91059,111339,73545,34621,44302
264,17,0500000US20177,"Shawnee County, Kansas",73172,59441,78471,45806,76777,96823,35154,89682,0,27366,37223,44082
265,17,0500000US20209,"Wyandotte County, Kansas",61248,46964,58167,38597,56042,68108,26379,66725,0,22651,30019,38868
266,18,0500000US21015,"Boone County, Kentucky",48770,76443,95188,34993,93245,105469,0,106252,0,13777,42162,61808
267,18,0500000US21029,"Bullitt County, Kentucky",30553,65560,80659,22493,75052,88142,0,84686,0,8060,37642,47661
268,18,0500000US21037,"Campbell County, Kentucky",38110,66439,90484,21992,91685,113467,0,101166,0,16118,38629,56654
269,18,0500000US21047,"Christian County, Kentucky",26209,47445,60690,16320,52828,66983,0,61250,0,9889,37554,48733
270,18,0500000US21059,"Daviess County, Kentucky",40800,50964,71078,27020,66568,83340,0,76771,0,13780,30228,41609
271,18,0500000US21067,"Fayette County, Kentucky",131929,58356,84149,73062,82055,107827,52330,100338,0,58867,40100,52112
272,18,0500000US21093,"Hardin County, Kentucky",42644,57463,72907,28039,71610,87990,0,81849,0,14605,35057,39866
273,18,0500000US21111,"Jefferson County, Kentucky",316174,59049,81043,184591,75337,100843,129152,92886,121368,131583,38250,50577
274,18,0500000US21117,"Kenton County, Kentucky",65362,68849,89473,39590,90817,104451,29194,104138,0,25772,45484,64213
275,18,0500000US21145,"McCracken County, Kentucky",28363,45084,69078,17412,64567,80818,0,76324,0,10951,25990,47774
276,18,0500000US21151,"Madison County, Kentucky",34270,49421,68898,22219,68429,85149,0,78279,0,12051,21410,37770
277,18,0500000US21185,"Oldham County, Kentucky",20761,97968,133900,17035,108185,147886,0,120682,0,3726,42403,59042
278,18,0500000US21227,"Warren County, Kentucky",50489,52645,74776,31315,67747,93719,0,76319,0,19174,31337,41386
279,19,0500000US22005,"Ascension Parish, Louisiana",44267,85425,105975,32305,94502,109959,0,108525,0,11962,44913,92722
280,19,0500000US22015,"Bossier Parish, Louisiana",49735,49962,69729,33963,61595,79701,0,79781,0,15772,29264,44803
281,19,0500000US22017,"Caddo Parish, Louisiana",92589,45537,69968,56525,58115,88131,34680,86507,0,36064,24466,39728
282,19,0500000US22019,"Calcasieu Parish, Louisiana",77232,51246,76975,53308,67045,91296,34714,89479,0,23924,28089,41559
283,19,0500000US22033,"East Baton Rouge Parish, Louisiana",161536,56451,82783,95243,74520,101778,59385,101255,0,66293,33373,52714
284,19,0500000US22045,"Iberia Parish, Louisiana",26185,50991,63066,20409,53940,63328,0,76530,0,5776,32401,55192
285,19,0500000US22051,"Jefferson Parish, Louisiana",171991,56069,74204,108177,68907,88571,69683,90167,0,63814,35857,46467
286,19,0500000US22055,"Lafayette Parish, Louisiana",94490,60567,83575,59937,78586,100140,43159,96544,0,34553,32102,53004
287,19,0500000US22057,"Lafourche Parish, Louisiana",36759,51339,68225,25224,61723,77120,0,81185,0,11535,28850,44447
288,19,0500000US22063,"Livingston Parish, Louisiana",47014,62187,76802,32840,80178,86689,0,95493,0,14174,42652,51306
289,19,0500000US22071,"Orleans Parish, Louisiana",151753,45615,77676,69370,67322,107143,40265,107007,149399,82383,30271,51233
290,19,0500000US22073,"Ouachita Parish, Louisiana",57835,41137,64077,34816,53414,79115,0,76361,0,23019,26744,39279
291,19,0500000US22079,"Rapides Parish, Louisiana",48975,50490,68816,32667,57444,76157,19369,72469,0,16308,31177,50082
292,19,0500000US22097,"St. Landry Parish, Louisiana",30441,38681,53665,20790,46231,59568,0,63237,0,9651,18765,31536
293,19,0500000US22103,"St. Tammany Parish, Louisiana",94988,69076,88518,65335,83092,104324,49516,93249,0,29653,37259,49848
294,19,0500000US22105,"Tangipahoa Parish, Louisiana",46526,47825,65721,31420,62684,76904,0,85924,0,15106,26984,37394
295,19,0500000US22109,"Terrebonne Parish, Louisiana",40173,48446,73594,28808,63587,77668,0,77278,0,11365,23914,57814
296,20,0500000US23001,"Androscoggin County, Maine",45924,63813,77447,28979,75183,88291,0,88207,0,16945,40440,52918
297,20,0500000US23003,"Aroostook County, Maine",30197,38768,52681,18147,57503,65989,0,65756,0,12050,21427,31178
298,20,0500000US23005,"Cumberland County, Maine",124925,76059,102890,71740,101075,129649,58848,110715,0,53185,48165,64189
299,20,0500000US23011,"Kennebec County, Maine",54480,55389,73143,31868,76956,91767,0,83838,0,22612,35208,43078
300,20,0500000US23019,"Penobscot County, Maine",64096,50449,69161,36444,73899,88664,28816,81978,0,27652,31516,40526
301,20,0500000US23031,"York County, Maine",86227,66648,83215,53664,85168,98868,42078,92375,0,32563,40642,54123
302,21,0500000US24001,"Allegany County, Maryland",26549,48867,59856,14890,63327,75563,0,73268,0,11659,27527,37682
303,21,0500000US24003,"Anne Arundel County, Maryland",216200,101147,130006,152593,116535,147966,119702,132588,0,63607,61743,77099
304,21,0500000US24005,"Baltimore County, Maryland",312466,77358,104484,198368,96502,124836,138137,116775,147659,114098,49712,64684
305,21,0500000US24009,"Calvert County, Maryland",32780,112380,126581,24694,124633,138592,0,139730,0,8086,56013,81706
306,21,0500000US24013,"Carroll County, Maryland",60617,103014,119439,44933,123231,138006,0,128630,0,15684,47321,62435
307,21,0500000US24015,"Cecil County, Maryland",38547,76441,92059,26171,91368,106436,0,104404,0,12376,34980,57696
308,21,0500000US24017,"Charles County, Maryland",57732,103932,124336,41845,114652,136309,0,140558,0,15887,68549,84108
309,21,0500000US24021,"Frederick County, Maryland",93768,103516,122496,66402,116728,137970,52828,129742,0,27366,60033,78108
310,21,0500000US24025,"Harford County, Maryland",96203,92331,113104,68980,109733,127433,55614,122371,0,27223,51226,69810
311,21,0500000US24027,"Howard County, Maryland",115772,121618,155431,84064,148680,178508,67754,164485,0,31708,72346,89445
312,21,0500000US24031,"Montgomery County, Maryland",368897,110389,150841,254937,135141,175967,199105,156896,199189,113960,71314,89161
313,21,0500000US24033,"Prince George's County, Maryland",316361,86290,102569,202976,100654,118396,122772,122096,139373,113385,59261,68128
314,21,0500000US24037,"St. Mary's County, Maryland",40320,87947,113054,29272,102798,127625,0,127429,0,11048,57151,66278
315,21,0500000US24043,"Washington County, Maryland",56225,59140,78594,37356,76075,93406,27596,91430,0,18869,29935,44555
316,21,0500000US24045,"Wicomico County, Maryland",38088,54402,76908,23879,73356,90713,0,99256,0,14209,34265,49844
317,21,0500000US24510,"Baltimore city, Maryland",242694,50177,75522,117974,65518,92197,56767,101879,129260,124720,37905,57104
318,22,0500000US25001,"Barnstable County, Massachusetts",96509,85042,111887,61824,104007,133450,49770,116351,0,34685,51921,69739
319,22,0500000US25003,"Berkshire County, Massachusetts",53792,58895,83502,31591,78546,102209,0,93178,0,22201,37146,53987
320,22,0500000US25005,"Bristol County, Massachusetts",220528,70402,91524,145412,90077,109355,101453,110378,128368,75116,33718,50715
321,22,0500000US25009,"Essex County, Massachusetts",297898,83810,115702,199203,103994,137208,143657,127261,161188,98695,46659,66406
322,22,0500000US25011,"Franklin County, Massachusetts",30927,60018,78555,16930,82932,97802,0,100189,0,13997,38336,51629
323,22,0500000US25013,"Hampden County, Massachusetts",179970,60161,81547,112616,75745,98658,69140,102266,122949,67354,33516,47643
324,22,0500000US25015,"Hampshire County, Massachusetts",60002,74778,93705,35194,99354,115620,0,111283,0,24808,43430,57951
325,22,0500000US25017,"Middlesex County, Massachusetts",612366,107056,142727,384837,136187,173205,309560,154640,193733,227529,65229,87183
326,22,0500000US25021,"Norfolk County, Massachusetts",269717,107361,143929,179611,132217,176578,145123,150542,0,90106,57478,74656
327,22,0500000US25023,"Plymouth County, Massachusetts",191041,90880,120462,130847,107594,140892,100726,125198,153698,60194,45827,68377
328,22,0500000US25025,"Suffolk County, Massachusetts",309945,77558,116061,150277,92491,135058,91338,136683,177064,159668,61641,92949
329,22,0500000US25027,"Worcester County, Massachusetts",316162,78345,101636,209884,100652,120774,158471,115791,138117,106278,41953,57914
330,23,0500000US26005,"Allegan County, Michigan",43667,66278,78236,32596,75200,85056,0,85073,0,11071,36116,52374
331,23,0500000US26017,"Bay County, Michigan",44887,49610,67223,27579,67327,83071,20649,79067,0,17308,32127,38160
332,23,0500000US26021,"Berrien County, Michigan",61809,50153,76451,39496,66322,89994,29254,82474,99521,22313,30262,48549
333,23,0500000US26025,"Calhoun County, Michigan",53827,49055,68474,32950,66013,82746,22703,81316,0,20877,30238,41546
334,23,0500000US26037,"Clinton County, Michigan",30070,69651,90001,21720,91372,101814,0,105246,0,8350,32855,48451
335,23,0500000US26045,"Eaton County, Michigan",44420,65409,83245,27502,83121,99386,21706,96596,109135,16918,45944,53922
336,23,0500000US26049,"Genesee County, Michigan",169247,50389,67405,106890,64374,79929,69597,81964,97500,62357,31113,42298
337,23,0500000US26055,"Grand Traverse County, Michigan",37408,65266,89263,24649,79611,96766,0,86954,0,12759,42094,72023
338,23,0500000US26065,"Ingham County, Michigan",114534,54395,73701,59915,74319,95994,42029,95495,115161,54619,35336,47296
339,23,0500000US26073,"Isabella County, Michigan",24690,45201,62070,14378,62795,78183,0,73740,0,10312,24955,37607
340,23,0500000US26075,"Jackson County, Michigan",61403,55124,72708,36872,75845,85415,25809,88307,97486,24531,31064,49025
341,23,0500000US26077,"Kalamazoo County, Michigan",103196,56441,79173,61025,77904,100541,45596,91936,0,42171,34354,45702
342,23,0500000US26081,"Kent County, Michigan",245437,66532,87827,160802,80671,103728,120935,94555,121447,84635,40857,53567
343,23,0500000US26087,"Lapeer County, Michigan",33902,66263,81767,25307,78430,92534,0,87218,0,8595,36155,45761
344,23,0500000US26091,"Lenawee County, Michigan",38499,53865,69443,24874,63438,80598,0,75774,0,13625,31958,43699
345,23,0500000US26093,"Livingston County, Michigan",73502,86512,108976,51469,102339,127690,42291,112722,0,22033,46709,62731
346,23,0500000US26099,"Macomb County, Michigan",351666,64947,80511,226960,79318,94564,165247,92388,0,124706,38665,51024
347,23,0500000US26103,"Marquette County, Michigan",27981,55148,68330,16623,70511,81765,0,77188,0,11358,34920,42557
348,23,0500000US26111,"Midland County, Michigan",34350,69872,91373,23111,84768,112411,0,95370,0,11239,34875,44722
349,23,0500000US26115,"Monroe County, Michigan",60875,62839,82402,41745,77207,95649,32385,95562,0,19130,36530,50101
350,23,0500000US26121,"Muskegon County, Michigan",66148,50366,66691,39892,63502,78816,28072,77098,0,26256,28993,45471
351,23,0500000US26125,"Oakland County, Michigan",508464,81190,111724,321228,106556,138397,250664,122211,156916,187236,46949,63525
352,23,0500000US26139,"Ottawa County, Michigan",105004,68817,88831,73568,84638,103910,58610,95676,114552,31436,39301,48725
353,23,0500000US26145,"Saginaw County, Michigan",79050,48303,70446,49935,61301,85533,34671,77945,102624,29115,31805,41769
354,23,0500000US26147,"St. Clair County, Michigan",63806,59837,76638,42451,76262,91081,32540,87020,0,21355,34168,45744
355,23,0500000US26155,"Shiawassee County, Michigan",26830,55249,70485,17927,67834,82005,0,76225,0,8903,31008,42696
356,23,0500000US26159,"Van Buren County, Michigan",30974,60549,70135,22139,72411,79886,0,77580,0,8835,31599,40605
357,23,0500000US26161,"Washtenaw County, Michigan",141680,76576,107685,81351,105960,140586,64768,123366,159414,60329,47835,61020
358,23,0500000US26163,"Wayne County, Michigan",689270,50753,70465,407315,65526,85309,242841,87495,108501,281955,32280,46501
359,24,0500000US27003,"Anoka County, Minnesota",131858,83353,101333,92733,99071,115745,73372,108099,127647,39125,51898,61486
360,24,0500000US27013,"Blue Earth County, Minnesota",26461,61133,75171,15196,83908,95443,0,92386,0,11265,40265,44477
361,24,0500000US27019,"Carver County, Minnesota",38860,101434,127548,28377,117452,147742,0,130528,0,10483,46274,68169
362,24,0500000US27035,"Crow Wing County, Minnesota",28012,60534,74086,18314,73398,86979,0,81345,0,9698,34115,45662
363,24,0500000US27037,"Dakota County, Minnesota",162895,88864,109318,109900,109606,129991,86602,121362,143295,52995,50569,61372
364,24,0500000US27053,"Hennepin County, Minnesota",517091,82369,112406,293948,110666,142917,227734,129438,163291,223143,51724,69009
365,24,0500000US27109,"Olmsted County, Minnesota",65635,80096,106347,41521,101732,129772,0,113730,0,24114,44741,62147
366,24,0500000US27123,"Ramsey County, Minnesota",206124,68871,90789,117328,90653,112683,83686,110788,134877,88796,44814,57603
367,24,0500000US27131,"Rice County, Minnesota",22861,72469,94139,14860,90504,111861,0,94738,0,8001,40258,56963
368,24,0500000US27137,"St. Louis County, Minnesota",86448,60434,74937,48441,81808,95241,37076,92237,107212,38007,34713,46060
369,24,0500000US27139,"Scott County, Minnesota",51474,108761,132258,37823,125610,149111,0,136531,0,13651,52175,80285
370,24,0500000US27141,"Sherburne County, Minnesota",32686,96210,112341,22063,109993,127613,0,123181,0,10623,60514,72228
371,24,0500000US27145,"Stearns County, Minnesota",59776,66558,82412,38493,80251,99170,30034,90154,0,21283,43148,47926
372,24,0500000US27163,"Washington County, Minnesota",97059,100596,131166,69458,117505,153194,57381,130109,0,27601,51600,70450
373,24,0500000US27171,"Wright County, Minnesota",49443,91707,104504,35198,112789,119883,0,117697,0,14245,50829,62451
374,25,0500000US28033,"DeSoto County, Mississippi",65220,66078,82611,47230,75239,90864,32401,90361,104488,17990,44477,57051
375,25,0500000US28035,"Forrest County, Mississippi",27340,39063,57488,15633,48439,67949,0,70007,0,11707,30825,41623
376,25,0500000US28047,"Harrison County, Mississippi",74628,50119,65457,50074,60685,77297,34874,80016,0,24554,27301,38311
377,25,0500000US28049,"Hinds County, Mississippi",88471,44964,61797,53269,54985,75399,30871,69514,0,35202,26969,39197
378,25,0500000US28059,"Jackson County, Mississippi",56323,52476,76123,38007,70273,90263,25491,87387,0,18316,31570,45215
379,25,0500000US28067,"Jones County, Mississippi",24178,37594,60497,16729,51262,65104,0,62061,0,7449,22547,47265
380,25,0500000US28075,"Lauderdale County, Mississippi",29367,37497,60357,19612,50186,70494,0,70921,0,9755,19611,39007
381,25,0500000US28081,"Lee County, Mississippi",30378,49715,74109,21437,58511,82357,0,80335,0,8941,31237,52331
382,25,0500000US28089,"Madison County, Mississippi",40046,68171,96063,28374,89325,113067,0,117435,0,11672,37793,51235
383,25,0500000US28121,"Rankin County, Mississippi",57011,67012,82605,39676,77155,96019,0,86002,0,17335,38567,49385
384,26,0500000US29019,"Boone County, Missouri",70721,57013,77332,40901,79184,97422,0,96401,0,29820,36167,47123
385,26,0500000US29021,"Buchanan County, Missouri",33984,46922,62181,19857,59975,74297,0,72846,0,14127,23871,39823
386,26,0500000US29031,"Cape Girardeau County, Missouri",31335,57908,76207,20141,73110,92657,0,80588,0,11194,32110,44917
387,26,0500000US29037,"Cass County, Missouri",40544,72819,89307,30591,85345,99514,0,97679,0,9953,37643,49845
388,26,0500000US29043,"Christian County, Missouri",33227,62765,78788,24008,71477,88301,0,81770,0,9219,32034,48604
389,26,0500000US29047,"Clay County, Missouri",93066,70253,85262,61337,86181,97838,46230,98469,0,31729,42959,55692
390,26,0500000US29051,"Cole County, Missouri",31437,61371,76584,19790,76697,94763,0,87871,0,11647,33578,42210
391,26,0500000US29071,"Franklin County, Missouri",42161,60953,74262,27751,75647,86619,0,80718,0,14410,35587,46208
392,26,0500000US29077,"Greene County, Missouri",133900,43752,63870,73601,61831,82475,54612,74446,94847,60299,27054,38395
393,26,0500000US29095,"Jackson County, Missouri",292571,57936,75915,169941,75666,92739,119016,91818,110434,122630,35556,49765
394,26,0500000US29097,"Jasper County, Missouri",45019,45010,60613,28541,54013,71163,0,67468,0,16478,30943,39951
395,26,0500000US29099,"Jefferson County, Missouri",83841,69009,79374,60865,80184,90392,46766,88047,0,22976,35040,46471
396,26,0500000US29165,"Platte County, Missouri",40332,81712,100478,26566,103254,120919,0,116760,0,13766,46236,58020
397,26,0500000US29183,"St. Charles County, Missouri",150668,89146,106947,105957,104321,122181,89569,114027,0,44711,50400,65515
398,26,0500000US29187,"St. Francois County, Missouri",24021,42390,59361,16458,52529,69594,0,70929,0,7563,22583,33094
399,26,0500000US29189,"St. Louis County, Missouri",410842,70022,103189,254290,94569,129855,184728,114643,0,156552,40708,57110
400,26,0500000US29510,"St. Louis city, Missouri",146779,47176,64422,63896,65317,87189,36273,93650,0,82883,34287,45758
401,27,0500000US30013,"Cascade County, Montana",32816,51227,64362,20336,65397,78177,0,79551,0,12480,28811,39027
402,27,0500000US30029,"Flathead County, Montana",40681,62588,78594,28847,72205,89824,0,75535,0,11834,37175,47926
403,27,0500000US30031,"Gallatin County, Montana",46990,75418,97931,24901,94184,126218,0,102057,0,22089,50229,63644
404,27,0500000US30049,"Lewis and Clark County, Montana",27405,67616,88558,16179,92122,115357,0,97927,0,11226,37380,47424
405,27,0500000US30063,"Missoula County, Montana",50853,57347,78557,30140,72141,98158,0,80727,0,20713,31680,46533
406,27,0500000US30111,"Yellowstone County, Montana",69989,61186,88264,42594,76959,108953,0,90853,0,27395,38046,52407
407,28,0500000US31055,"Douglas County, Nebraska",222819,67133,89637,138271,84843,109129,103037,99983,126197,84548,43875,54798
408,28,0500000US31109,"Lancaster County, Nebraska",128385,61175,84839,76036,81522,107888,60086,94550,121056,52349,37272,49491
409,28,0500000US31153,"Sarpy County, Nebraska",68947,83720,100778,50843,98846,113445,40604,111288,127259,18104,43740,59933
