id,state_id,census_id,Geographic Area Name,Estimate!!Households!!Total,Estimate!!Households!!Median income (dollars),Estimate!!Households!!Mean income (dollars),Estimate!!Families!!Total,Estimate!!Families!!Median income (dollars),Estimate!!Families!!Mean income (dollars),Estimate!!Married-couple families!!Total,Estimate!!Married-couple families!!Median income (dollars),Estimate!!Married-couple families!!Mean income (dollars),Estimate!!Nonfamily households!!Total,Estimate!!Nonfamily households!!Median income (dollars),Estimate!!Nonfamily households!!Mean income (dollars)
125,14,9500000US1715820,"Freeburg Community Consolidated School District 70, Illinois",2946,75176,98550,2067,100750,121891,1762,116131,N,879,35845,39883
126,14,9500000US1715930,"Fremont School District 79, Illinois",7369,113837,142725,5500,137664,167320,4898,145701,N,1869,42429,66951
127,14,9500000US1716230,"Gardner Community Consolidated School District 72C, Illinois",714,66818,87204,516,76667,98442,455,86354,N,198,45000,55613
128,14,9500000US1716290,"Gavin School District 37, Illinois",2923,70307,83991,2136,92930,94710,1710,96364,N,787,39983,48802
129,14,9500000US1716320,"Geff Community Consolidated School District 14, Illinois",376,52813,64739,229,62386,72904,195,64485,N,147,32375,51916
130,14,9500000US1716530,"Germantown School District 60, Illinois",790,70676,81130,513,80859,92928,399,91563,N,277,46172,52422
131,14,9500000US1716560,"Germantown Hills School District 69, Illinois",2410,98095,131337,1921,113097,145930,1729,120426,N,489,52339,72083
132,14,9500000US1716590,"Giant City Community Consolidated School District 130, Illinois",879,52159,82467,609,78456,102823,484,82955,N,270,23684,36463
133,14,9500000US1716650,"Gifford Community Consolidated School District 188, Illinois",785,74563,85631,560,83833,98952,483,89922,N,225,38393,48605
134,14,9500000US1716800,"Glen Ellyn School District 41, Illinois",10916,109074,153290,8060,146359,182335,6877,167736,N,2856,50619,62189
135,14,9500000US1716860,"Glencoe School District 35, Illinois",3168,248581,364399,2440,"250,000+",440651,2203,"250,000+",N,728,53289,104479
136,14,9500000US1716920,"Glenview Community Consolidated School District 34, Illinois",15326,105429,168560,11153,139583,204936,9563,157031,N,4173,49335,68502
137,14,9500000US1716950,"Brookwood School District 167, Illinois",3728,61658,72647,2596,72222,82818,1429,89393,N,1132,33786,46274
138,14,9500000US1717040,"Woodridge School District 68, Illinois",14251,78336,93021,8236,99979,115463,6398,113214,N,6015,49107,60546
139,14,9500000US1717160,"Gower School District 62, Illinois",4129,106406,156918,2931,135563,197580,2464,151528,N,1198,37135,54311
140,14,9500000US1717190,"Grand Prairie Community Consolidated School District 6, Illinois",347,72321,72814,253,83162,83686,203,87361,N,94,37500,40976
141,14,9500000US1717220,"Grand Ridge Community Consolidated School District 95, Illinois",911,74107,95656,684,87500,104972,590,93500,N,227,37841,66497
142,14,9500000US1717310,"Grant Community Consolidated School District 110, Illinois",2630,68500,95474,1776,88594,121259,1446,99000,N,854,34896,38094
143,14,9500000US1717490,"Grass Lake School District 36, Illinois",1164,79423,100132,728,98068,123193,561,103403,N,436,45000,57911
144,14,9500000US1717520,"Grayslake Consolidated Community School District 46, Illinois",10609,90853,109522,7842,109461,126288,6402,117086,N,2767,44182,56584
145,14,9500000US1717800,"Gurnee School District 56, Illinois",7132,70578,87896,4664,88281,103135,3395,105329,N,2468,46204,54724
146,14,9500000US1717850,"Northbrook Elementary School District 27, Illinois",4445,124668,167872,3490,152235,192491,3154,159755,N,955,49183,77172
147,14,9500000US1718090,"Hampton School District 29, Illinois",1006,70726,86224,700,82600,98137,593,94306,N,306,49286,56472
148,14,9500000US1718360,"Harrison School District 36, Illinois",1942,66274,77401,1108,82867,90912,828,93229,N,834,49868,57498
149,14,9500000US1718450,"Harvey School District 152, Illinois",4939,29558,44806,2988,46016,59272,1296,53875,N,1951,16742,20438
150,14,9500000US1718480,"West Harvey-Dixmoor Public School District 147, Illinois",3825,31494,41742,2251,35531,46794,975,48604,N,1574,20133,31715
151,14,9500000US1718570,"Hawthorn Community Consolidated School District 73, Illinois",11290,94498,123526,8007,116665,143318,6672,132075,N,3283,52417,72861
152,14,9500000US1718600,"Hazel Crest School District 152-5, Illinois",2729,41250,56635,1856,51852,65845,806,75541,N,873,35128,35635
153,14,9500000US1718960,"High Mount School District 116, Illinois",1620,53750,64793,866,79732,84671,598,87045,N,754,28643,39378
154,14,9500000US1719110,"LaGrange Highlands School District 106, Illinois",3602,105858,148344,2561,136250,184241,2259,155810,N,1041,43297,59899
155,14,9500000US1719230,"Hillside School District 93, Illinois",1905,64922,81078,1172,80000,99223,896,91625,N,733,44044,51864
156,14,9500000US1719290,"Hinsdale Community Consolidated School District 181, Illinois",8863,197434,296287,7356,229891,336929,6647,245881,N,1507,63219,93251
157,14,9500000US1719420,"Hollis Consolidated School District 328, Illinois",246,75536,84396,190,83750,97781,176,86667,N,56,36250,36116
158,14,9500000US1719500,"Homer Community Consolidated School District 33C, Illinois",9955,104053,121454,7913,114088,133233,6841,122753,N,2042,46014,64874
159,14,9500000US1719530,"Homewood School District 153, Illinois",6227,71413,85303,4352,89488,98195,2992,106000,N,1875,39427,53474
160,14,9500000US1719680,"Hoover-Schrum Memorial School District 157, Illinois",3093,32739,45301,1615,40952,52551,648,54925,N,1478,24821,34345
161,14,9500000US1720190,"Irvington County Community Unit School District 11, Illinois",378,63409,63965,267,72404,76425,221,75481,N,111,19911,33921
162,14,9500000US1720220,"Itasca School District 10, Illinois",3758,100256,114861,2719,120164,129714,2271,125813,N,1039,54886,71431
163,14,9500000US1720250,"Iuka Community Consolidated School District 7, Illinois",734,55357,64027,512,67250,73645,440,79583,N,222,35400,37887
164,14,9500000US1720370,"Jasper Community Consolidated School District 17, Illinois",666,52708,63701,456,61731,72932,363,68906,N,210,26742,41526
165,14,9500000US1720580,"Joliet Public School District 86, Illinois",28532,49680,59702,18073,56941,67393,11322,69771,81370,10459,32172,42075
166,14,9500000US1720640,"Jonesboro Community Consolidated School District 43, Illinois",1041,52697,62533,717,65938,72366,543,77639,N,324,25132,37947
167,14,9500000US1720880,"Keeneyville School District 20, Illinois",5165,79359,92649,4011,92929,101303,3057,107993,N,1154,46818,54490
168,14,9500000US1720910,"Kell Consolidated School District 2, Illinois",405,64712,73277,317,77847,78758,261,79792,N,88,36875,43418
169,14,9500000US1720970,"Kenilworth School District 38, Illinois",882,226538,321177,736,"250,000+",361149,678,"250,000+",N,146,106786,116429
170,14,9500000US1721030,"Kildeer Countryside Community Consolidated School District 96, Illinois",7562,158008,204848,6589,172922,220532,5906,187817,N,973,62350,89449
171,14,9500000US1721130,"Kings Consolidated School District 144, Illinois",362,71389,80046,255,87813,93060,209,100417,N,107,49583,47211
172,14,9500000US1721180,"Kinnikinnick Community Consolidated School District 131, Illinois",4970,84369,102659,3867,92593,111388,3199,100822,N,1103,50023,63592
173,14,9500000US1721270,"Kirby School District 140, Illinois",12588,86667,102580,9506,104153,115137,8045,115951,N,3082,45846,59559
174,14,9500000US1721420,"Komarek School District 94, Illinois",1969,54676,79739,1243,77155,87277,775,81237,N,726,27800,63536
175,14,9500000US1721450,"Darien School District 61, Illinois",6699,79653,105145,4432,104702,126430,3489,113350,N,2267,48463,61179
176,14,9500000US1721510,"Ladd Community Consolidated School District 94, Illinois",769,62708,78905,524,77917,97293,417,90750,N,245,31302,37388
177,14,9500000US1721600,"LaGrange School District 102, Illinois",9501,106427,142200,6660,137188,171801,5408,157703,N,2841,50553,69078
178,14,9500000US1721630,"LaGrange School District 105, Illinois",4533,63432,106850,2995,84635,133058,2070,118725,166869,1538,37628,53337
179,14,9500000US1721720,"Lake Bluff Elementary School District 65, Illinois",2623,150335,206649,2177,162943,227633,1951,176953,N,446,72632,104225
180,14,9500000US1721750,"Lake Forest School District 67, Illinois",6845,170762,270732,5083,231410,320208,4665,"250,000+",N,1762,57075,126488
181,14,9500000US1721870,"Lake Villa Community Consolidated School District 41, Illinois",8330,94515,108554,6066,110894,124491,4987,118896,N,2264,51250,62226
182,14,9500000US1722020,"Lansing School District 158, Illinois",8719,52713,69346,5345,64205,75265,3134,87042,N,3374,38904,57515
183,14,9500000US1722050,"Laraway Community Consolidated School District 70C, Illinois",975,50234,72644,608,52436,81286,356,70588,N,367,38787,52445
184,14,9500000US1722080,"LaSalle Elementary School District 122, Illinois",3623,46817,58607,2026,53563,69659,1316,68590,N,1597,33614,41896
185,14,9500000US1722800,"Libertyville School District 70, Illinois",6688,138581,185307,5024,168056,216662,4355,187950,N,1664,51771,88992
186,14,9500000US1722860,"Lick Creek Community Consolidated School District 16, Illinois",633,58438,94618,406,71944,111569,358,81786,N,227,36875,64302
187,14,9500000US1722920,"Limestone Walters Community Consolidated School District 316, Illinois",724,84113,104559,611,90625,113655,543,100417,N,113,42083,50938
188,14,9500000US1722980,"Lincoln Elementary School District 27, Illinois",5248,47675,60973,2950,60890,72941,2241,75466,N,2298,30089,43744
189,14,9500000US1723090,"Lincolnshire-Prairieview School District 103, Illinois",4766,170150,204262,3952,199464,226574,3592,212442,N,814,53929,91042
190,14,9500000US1723100,"Lincolnwood School District 74, Illinois",4298,95030,124036,3181,111510,140894,2753,119613,N,1117,41851,74790
191,14,9500000US1723160,"Lisbon Community Consolidated School District 90, Illinois",293,85982,92209,240,88889,96874,212,92045,N,53,61875,66811
192,14,9500000US1723460,"Lombard School District 44, Illinois",13763,83449,101584,8664,105076,120618,6738,114087,N,5099,49939,67249
193,14,9500000US1723700,"Ludlow Community Consolidated School District 142, Illinois",331,61750,75847,209,78438,91723,164,96429,N,122,44423,46504
194,14,9500000US1723730,"Will County School District 92, Illinois",4958,97478,111418,4002,107675,121572,3347,121076,N,956,45862,66558
195,14,9500000US1723850,"Lyons School District 103, Illinois",7917,65450,76711,5201,75961,87026,3401,88984,N,2716,36258,53863
196,14,9500000US1724000,"Maercker School District 60, Illinois",7722,72083,107173,4163,108246,148470,3401,114604,N,3559,47944,56666
197,14,9500000US1724120,"Malden Community Consolidated School District 84, Illinois",267,58472,70053,175,75375,81019,137,77375,N,92,34750,46805
198,14,9500000US1724270,"Manhattan School District 114, Illinois",3228,104351,106479,2562,111447,115880,2137,118304,N,666,53850,65833
199,14,9500000US1724330,"Mannheim School District 83, Illinois",6664,62029,75407,4742,75000,86356,3382,85974,N,1922,38429,44253
200,14,9500000US1724420,"Northbrook/Glenview School District 30, Illinois",4625,116849,155708,3264,150000,190356,2977,159954,N,1361,56875,71395
201,14,9500000US1724720,"Prairie-Hills Elementary School District 144, Illinois",7425,53315,63751,5007,62653,69995,2692,83237,N,2418,38692,46608
202,14,9500000US1724780,"Marquardt School District 15, Illinois",9214,61653,76955,6090,68417,84953,4393,81674,N,3124,43733,56672
203,14,9500000US1725020,"Matteson Elementary School District 162, Illinois",9179,68174,82684,5973,87174,98254,3702,107342,N,3206,34753,52459
204,14,9500000US1725110,"Maywood-Melrose Park-Broadview School District 89, Illinois",14204,53899,65622,9551,61985,72500,5262,70540,83701,4653,32995,45106
205,14,9500000US1725190,"Mazon-Verona-Kinsman Elementary School District 2C, Illinois",1075,64844,85973,832,73875,95541,659,88750,N,243,40875,45209
206,14,9500000US1725260,"McClellan Community Consolidated School District 12, Illinois",405,59063,74494,284,69531,82348,239,71625,N,121,31908,54872
207,14,9500000US1725290,"McHenry Community Consolidated School District 15, Illinois",16100,74019,91596,11159,89727,106704,9011,100047,117952,4941,37941,52653
208,14,9500000US1725500,"Medinah School District 11, Illinois",2978,80160,104707,1859,100107,129441,1548,106304,N,1119,47801,62251
209,14,9500000US1725620,"Mendota Community Consolidated School District 289, Illinois",4013,63268,79297,2675,74805,85336,1921,86328,N,1338,41369,61442
210,14,9500000US1725740,"Metamora Community Consolidated School District 1, Illinois",2626,77106,103734,1888,92656,123809,1598,105956,N,738,43833,51204
211,14,9500000US1725920,"Midlothian School District 143, Illinois",5371,54528,67623,3577,74066,82195,2456,85857,N,1794,26122,36179
212,14,9500000US1726100,"Millburn Community Consolidated School District 24, Illinois",2660,135595,146647,2131,152267,163040,1889,159283,N,529,71250,79418
213,14,9500000US1726190,"Millstadt Consolidated Community School District 160, Illinois",3507,79627,94542,2544,103000,107002,2011,109250,N,963,31903,57127
214,14,9500000US1726250,"Miller Township Community Consolidated School District, Illinois",924,76000,87448,669,91733,101051,590,93523,N,255,32750,50415
215,14,9500000US1726310,"Minooka Community Consolidated School District 201, Illinois",8423,91180,105559,6652,96927,115408,5757,106980,N,1771,52049,64505
216,14,9500000US1726370,"Mokena School District 159, Illinois",6360,104583,119143,4600,125786,138880,3925,134330,N,1760,59900,65006
217,14,9500000US1726490,"Monroe School District 70, Illinois",1217,75550,88253,819,90027,95500,667,91553,N,398,57955,71534
218,14,9500000US1726590,"Montmorency Community Consolidated School District 145, Illinois",1056,65481,82466,795,80580,82975,665,89097,N,261,32371,77584
219,14,9500000US1726610,"Morris School District 54, Illinois",5203,65662,77897,3225,81563,90983,2382,89722,N,1978,44762,53656
220,14,9500000US1726820,"Golf Elementary School District 67, Illinois",2334,80586,97871,1688,86932,107043,1451,87656,N,646,51429,73002
221,14,9500000US1726850,"Morton Grove School District 70, Illinois",3713,84225,98963,2544,102365,120837,2194,107375,N,1169,35649,46478
222,14,9500000US1727210,"Mount Prospect School District 57, Illinois",7902,106090,124412,5860,123575,143256,5060,130000,N,2042,50183,69387
223,14,9500000US1727340,"Mount Vernon School District 80, Illinois",5974,40356,60123,3429,47396,72528,1992,65106,N,2545,26551,40916
224,14,9500000US1727540,"Mundelein Elementary School District 75, Illinois",5051,96121,111770,3921,103656,118533,3290,109364,N,1130,61932,84716
225,14,9500000US1727720,"Nashville Consolidated Community School District 49, Illinois",2500,60588,80562,1708,80167,93453,1343,90507,N,792,38409,47662
226,14,9500000US1727930,"Nettle Creek Community Consolidated School District 24C, Illinois",398,117500,152207,314,135833,167519,273,148125,N,84,82500,93168
227,14,9500000US1728110,"New Hope Community Consolidated School District 6, Illinois",669,53456,65975,468,61354,77374,392,67969,N,201,31458,36118
228,14,9500000US1728140,"New Lenox School District 122, Illinois",13853,108049,128353,11103,123397,141453,9665,131463,N,2750,56329,71294
229,14,9500000US1728160,"New Simpson Hill Consolidated District 32, Illinois",838,50114,71037,614,54457,77427,512,65556,N,224,25921,30767
230,14,9500000US1728270,"Newark Community Consolidated School District 66, Illinois",1017,82813,94983,804,89868,103200,629,98958,N,213,52250,55866
231,14,9500000US1728500,"Niles Elementary School District 71, Illinois",2855,59508,72435,1787,77050,85780,1414,80500,N,1068,33472,49965
232,14,9500000US1728650,"Norridge School District 80, Illinois",4570,73551,93641,3308,91389,107104,2487,96055,N,1262,37143,55717
233,14,9500000US1728890,"North Palos School District 117, Illinois",9916,63242,79974,6856,71397,89074,4888,82136,N,3060,42961,55154
234,14,9500000US1728920,"North Pekin-Marquette Heights School District 102, Illinois",2034,59543,75884,1484,66023,83887,1052,85139,N,550,38443,46734
235,14,9500000US1728980,"Northbrook School District 28, Illinois",5333,123232,174595,3936,148141,210719,3569,161106,N,1397,43060,72811
236,14,9500000US1729040,"Norwood Elementary School District 63, Illinois",1254,48500,69944,855,56250,70645,616,63804,N,399,40096,65136
237,14,9500000US1729100,"Oak Grove School District 68 (Peoria County), Illinois",1723,52412,59728,1099,58262,67736,737,76168,N,624,41818,42787
238,14,9500000US1729130,"Oak Grove School District 68 (Lake County), Illinois",2707,115625,181810,1970,151800,207075,1759,166953,N,737,61723,113277
239,14,9500000US1729190,"Oak Lawn-Hometown School District 123, Illinois",13389,64974,83101,8354,87296,101273,6062,103381,N,5035,41617,50406
240,14,9500000US1729250,"Oak Park Elementary School District 97, Illinois",21603,94646,133860,12819,138068,176118,9904,160773,N,8784,52014,69172
241,14,9500000US1729310,"Oakdale Community Consolidated School District 1, Illinois",278,69286,79259,175,81875,92286,147,95417,N,103,50625,52045
242,14,9500000US1729520,"Odell Community Consolidated School District 435, Illinois",506,61296,85887,360,78125,94300,271,83029,N,146,31184,59166
243,14,9500000US1729670,"Oglesby Elementary School District 125, Illinois",2001,55321,66700,1281,70321,77748,957,82958,N,720,30395,43038
244,14,9500000US1729700,"Ohio Community Consolidated School District 17, Illinois",352,57500,74411,199,72917,79681,167,78542,N,153,39792,66661
245,14,9500000US1729760,"O'Fallon Community Consolidated School District 90, Illinois",11120,93467,112755,8239,113138,131953,6763,123962,N,2881,45838,55477
246,14,9500000US1730220,"Orland School District 135, Illinois",20924,93503,115553,15522,108556,130249,13074,118246,N,5402,54496,71463
247,14,9500000US1730300,"Ottawa Elementary School District 141, Illinois",8218,53161,68815,5102,67722,82941,3566,84653,N,3116,31724,43429
248,14,9500000US1730420,"Palatine Community Consolidated School District 15, Illinois",45393,85837,114450,30457,105956,134361,24337,119504,N,14936,54895,70173
249,14,9500000US1730510,"Community Consolidated School District 180, Illinois",2275,73750,129029,1809,63341,129992,940,126964,N,466,47250,82593
250,14,9500000US1730570,"Palos Heights School District 128, Illinois",4015,79203,103247,2696,101706,127001,2194,117644,N,1319,47969,53410
251,14,9500000US1730600,"Palos Community Consolidated School District 118, Illinois",9581,81979,107624,6409,107679,130636,5542,115073,N,3172,35307,57785
252,14,9500000US1730810,"Park Forest School District 163, Illinois",6019,48744,56805,3288,57687,69042,1514,75250,N,2731,33144,38889
253,14,9500000US1730840,"Park Ridge Consolidated Community School District 64, Illinois",15112,112731,146467,10779,141704,174655,9188,147951,N,4333,55304,74345
254,14,9500000US1730900,"General George Patton School District 133, Illinois",703,26815,43531,391,41027,58665,121,61625,N,312,16726,21910
255,14,9500000US1731080,"Pekin Public School District108, Illinois",13892,51390,63146,8186,64672,78747,5881,80128,N,5706,32443,38533
256,14,9500000US1731140,"Pembroke Consolidated Community School District 259, Illinois",628,29674,40399,371,43438,52809,203,55156,N,257,15820,21341
257,14,9500000US1731200,"Pennoyer School District 79, Illinois",2251,78087,94183,1540,93333,109949,1272,98171,N,711,43875,56692
258,14,9500000US1731380,"Peru Elementary School District 124, Illinois",4344,51786,71043,2499,71390,91753,1899,81159,N,1845,30493,40978
259,14,9500000US1731560,"Community Consolidated School District 204, Illinois",705,66985,74433,524,79853,86633,415,85060,N,181,32054,34511
260,14,9500000US1731860,"Pleasant Hill School District 69, Illinois",653,43897,49949,491,43958,48749,243,54306,N,162,39500,45243
261,14,9500000US1731950,"Pleasant Valley School District 62, Illinois",1837,39209,51423,862,53521,70397,579,65787,N,975,18493,30747
262,14,9500000US1732040,"Pleasantdale School District 107, Illinois",2992,128500,172865,2209,157279,194548,1964,171563,N,783,73321,111127
263,14,9500000US1732090,"Potomac Community Unit School District 10, Illinois",479,54063,66758,317,66875,77013,246,82361,N,162,40000,43052
264,14,9500000US1732160,"Pontiac Community Consolidated School District 429, Illinois",4936,47119,62654,3134,61976,72598,1998,79085,N,1802,29500,43058
265,14,9500000US1732190,"Pontiac-William Holliday School District 105, Illinois",3780,60081,73808,2134,77292,93266,1592,89884,N,1646,41314,46941
266,14,9500000US1732370,"Posen-Robbins Elementary School District 143-5, Illinois",4022,36923,51654,2590,49825,61301,1421,61127,N,1432,19890,31036
267,14,9500000US1732490,"Prairie du Rocher Community Consolidated School District 134, Illinois",329,57969,64322,219,67750,72928,185,69417,N,110,37273,45481
268,14,9500000US1732520,"Prairie Grove Community School District 46, Illinois",2636,105616,136487,2128,111016,140461,1863,119245,N,508,61875,114059
269,14,9500000US1732550,"Prairie Hill Community Consolidated School District 133, Illinois",1669,108295,130874,1484,112656,140246,1292,120890,N,185,-,52972
270,14,9500000US1732670,"Princeton Elementary School District 115, Illinois",4972,58305,73306,3267,75358,87970,2514,85722,N,1705,31990,42985
271,14,9500000US1732850,"Prospect Heights School District 23, Illinois",7447,77083,107065,5048,95466,127016,4187,106341,N,2399,50899,60426
272,14,9500000US1732970,"Queen Bee School District 16, Illinois",5497,82656,95448,4117,88589,101029,3053,98835,N,1380,63762,73128
273,14,9500000US1733030,"Raccoon Consolidated School District 1, Illinois",926,58906,70705,676,69167,79887,575,73750,N,250,37353,45652
274,14,9500000US1733120,"Rankin Community School District 98, Illinois",907,65825,80882,598,83636,96731,492,97885,N,309,50583,47219
275,14,9500000US1733210,"Rantoul City School District 137, Illinois",4809,41879,54468,2881,46890,59388,1600,65116,N,1928,30443,44496
276,14,9500000US1733390,"Rhodes School District 84-5, Illinois",1580,43011,62532,1126,55000,72358,741,87574,N,454,23869,28057
277,14,9500000US1733450,"Richland School District 88A, Illinois",4632,54628,67321,2483,66875,81800,1815,83472,N,2149,37525,48193
278,14,9500000US1733690,"Ridgeland School District 122, Illinois",7391,53901,69649,5290,68302,80454,4011,74464,N,2101,30815,39662
279,14,9500000US1733750,"Riley Community Consolidated School District 18, Illinois",926,110417,136389,795,109821,133164,669,135528,N,131,-,141860
280,14,9500000US1733810,"River Forest School District 90, Illinois",3971,129928,228127,2824,191293,282063,2504,203438,N,1147,73603,94624
281,14,9500000US1733840,"River Grove School District 85-5, Illinois",2947,57114,67821,1930,66127,76189,1444,77722,N,1017,32768,50074
282,14,9500000US1733870,"River Trails School District 26, Illinois",5454,92135,110335,4301,111423,126730,3682,114703,N,1153,34401,45612
283,14,9500000US1733990,"Riverside School District 96, Illinois",4972,86312,119560,3561,118229,142602,2739,128902,N,1411,52218,58217
284,14,9500000US1734110,"Riverview Consolidated Community School District 2, Illinois",1092,60345,77267,776,78750,88612,630,82344,N,316,30227,47496
285,14,9500000US1734170,"Robein School District 85, Illinois",862,62576,74573,608,66765,82066,454,79750,N,254,45833,53001
286,14,9500000US1734260,"Rochelle Community Consolidated District 231, Illinois",5273,54292,67851,3431,66060,78056,2554,72188,N,1842,29007,44746
287,14,9500000US1734350,"Rock Falls Elementary School District 13, Illinois",3611,48282,62796,2194,55993,73180,1432,70066,N,1417,32166,42598
288,14,9500000US1734470,"Rockdale School District 84, Illinois",812,54000,67146,517,68102,77085,320,72500,N,295,38365,47058
289,14,9500000US1734540,"Rockton School District 140, Illinois",4679,81993,88854,3503,91284,97507,2788,100248,N,1176,39138,57451
290,14,9500000US1734590,"Rome Community Consolidated School District 2, Illinois",1102,58462,73770,696,83500,96473,581,91027,N,406,26184,32401
291,14,9500000US1734620,"Rondout School District 72, Illinois",539,159583,213509,445,177917,230651,406,198333,N,94,41667,122104
292,14,9500000US1734650,"Rooks Creek Community Consolidated School District 425, Illinois",207,91635,96533,151,97031,113385,126,108750,N,56,38750,47284
293,14,9500000US1734710,"Roselle School District 12, Illinois",2629,96891,108442,1780,117917,131624,1534,128393,N,849,45491,55295
294,14,9500000US1734740,"Schaumburg Community Consolidated School District 54, Illinois",49449,82625,97464,34316,93382,110494,27349,104807,121595,15133,54556,64774
295,14,9500000US1734770,"Rosemont Elementary School District 78, Illinois",950,60662,85689,522,83214,114280,452,94167,N,428,42955,50760
296,14,9500000US1735100,"Rutland Community Consolidated School District 230, Illinois",326,63906,93409,194,84375,116160,179,85208,N,132,56667,59891
297,14,9500000US1735160,"Salem School District 111, Illinois",3688,43402,55369,2265,54387,63142,1615,67087,N,1423,24363,38562
298,14,9500000US1735220,"Salt Creek School District 48, Illinois",3784,80516,90737,2055,98201,108770,1721,99754,N,1729,54724,68810
299,14,9500000US1735340,"Sandridge School District 172, Illinois",1440,58306,71175,1030,70217,86403,415,76131,N,410,26563,32750
300,14,9500000US1735400,"Saratoga Community Consolidated School District 60C, Illinois",2399,78311,96366,1801,96358,106468,1341,112159,N,598,58750,65551
301,14,9500000US1735460,"Community Consolidated School District 168, Illinois",3239,38447,56357,2302,45302,59127,877,75355,N,937,24663,39636
302,14,9500000US1735640,"Schiller Park School District 81, Illinois",4832,54837,66063,3450,61335,74732,2526,63404,N,1382,36411,42432
303,14,9500000US1735770,"Selmaville Community Consolidated School District 10, Illinois",774,64762,78227,494,86667,94880,405,96202,N,280,34000,47209
304,14,9500000US1735820,"Seneca Community Consolidated School District 170, Illinois",1252,75313,83427,1026,79286,88715,751,91250,N,226,41750,56768
