id,state_id,census_id,Geographic Area Name,Estimate!!Households!!Total,Estimate!!Households!!Median income (dollars),Estimate!!Households!!Mean income (dollars),Estimate!!Families!!Total,Estimate!!Families!!Median income (dollars),Estimate!!Families!!Mean income (dollars),Estimate!!Married-couple families!!Total,Estimate!!Married-couple families!!Median income (dollars),Estimate!!Married-couple families!!Mean income (dollars),Estimate!!Nonfamily households!!Total,Estimate!!Nonfamily households!!Median income (dollars),Estimate!!Nonfamily households!!Mean income (dollars)
351,14,9500000US1741550,"West Chicago School District 33, Illinois",9166,78304,94881,6840,88036,103444,5318,100135,N,2326,53889,66225
352,14,9500000US1741600,"West Lincoln-Broadwell Elementary School District 92, Illinois",760,83235,111527,575,101528,129392,544,104688,N,185,41750,52029
353,14,9500000US1741700,"West Northfield School District 31, Illinois",4029,76732,125904,2588,101154,155335,2047,122090,N,1441,46453,69611
354,14,9500000US1741790,"Westchester School District 92-5, Illinois",6079,86305,92733,4013,103776,109438,3215,111691,N,2066,48174,58232
355,14,9500000US1741820,"Western Springs School District 101, Illinois",3236,179079,225062,2739,191979,246245,2531,200993,N,497,58264,108159
356,14,9500000US1742210,"Wheeling Community Consolidated School District 21, Illinois",25540,75699,94746,16848,91799,108953,13516,100451,N,8692,49717,64065
357,14,9500000US1742300,"Whiteside School District 115, Illinois",5529,80430,95249,4041,97614,109052,2915,122450,N,1488,42113,52599
358,14,9500000US1742510,"Willow Grove School District 46, Illinois",725,49948,59370,438,58594,64197,311,69188,N,287,37411,49614
359,14,9500000US1742570,"Willow Springs School District 108, Illinois",1785,62264,74401,1024,71429,83174,749,84345,N,761,44899,61521
360,14,9500000US1742600,"Wilmette School District 39, Illinois",9410,169241,248677,7314,203750,293312,6730,214817,N,2096,54631,92594
361,14,9500000US1742720,"Winfield School District 34, Illinois",1951,93922,111856,1228,121979,134269,997,124280,N,723,62440,71903
362,14,9500000US1742840,"Winnetka School District 36, Illinois",3960,246500,371021,3238,"250,000+",413615,3036,"250,000+",N,722,69167,178365
363,14,9500000US1742900,"Winthrop Harbor School District 1, Illinois",2577,86034,100858,1911,98711,110421,1550,100893,N,666,47917,66310
364,14,9500000US1742960,"Wolf Branch School District 113, Illinois",3151,90302,124981,2159,107337,151428,1859,119816,N,992,52917,62240
365,14,9500000US1743020,"Wood Dale School District 7, Illinois",3566,67331,84307,2543,73045,87280,1931,85191,N,1023,56289,71236
366,14,9500000US1743050,"Wood River-Hartford Elementary School District 15, Illinois",2511,51569,58882,1477,58142,68060,1018,74402,N,1034,26374,39068
367,14,9500000US1743110,"Woodland Community Consolidated School District 50, Illinois",17786,98587,125243,13003,119911,142423,10474,133232,N,4783,59100,73367
368,14,9500000US1743380,"Worth School District 127, Illinois",4071,60605,69813,2701,69606,80960,2022,78938,N,1370,35467,45182
369,14,9500000US1743860,"Zion Elementary School District 6, Illinois",5481,45898,59057,3905,53781,65247,2105,70163,N,1576,25188,37797
370,14,9500000US1799002,"Bluford Unit School District 318 (KG-8) in Mount Vernon, Illinois",178,85000,83604,132,102917,99234,128,103194,N,46,37500,38752
371,14,9500000US1799003,"Woodlawn Unit District 209 (KG-8) in Mount Vernon, Illinois",187,83125,95327,126,103125,115397,117,105938,N,61,53603,53872
372,14,9500000US1799007,"Woodlawn Unit District 209 (KG-8) in Nashville, Illinois",4,-,N,4,-,N,4,-,N,0,-,-
373,14,9500000US1799999,"Remainder of Illinois, Illinois",3079395,62000,87003,1903693,77872,103580,1373053,95528,122520,1175702,38148,57102
