GEO_ID,NAME,S1901_C01_001E,S1901_C01_001M,S1901_C01_002E,S1901_C01_002M,S1901_C01_003E,S1901_C01_003M,S1901_C01_004E,S1901_C01_004M,S1901_C01_005E,S1901_C01_005M,S1901_C01_006E,S1901_C01_006M,S1901_C01_007E,S1901_C01_007M,S1901_C01_008E,S1901_C01_008M,S1901_C01_009E,S1901_C01_009M,S1901_C01_010E,S1901_C01_010M,S1901_C01_011E,S1901_C01_011M,S1901_C01_012E,S1901_C01_012M,S1901_C01_013E,S1901_C01_013M,S1901_C01_014E,S1901_C01_014M,S1901_C01_015E,S1901_C01_015M,S1901_C01_016E,S1901_C01_016M,S1901_C02_001E,S1901_C02_001M,S1901_C02_002E,S1901_C02_002M,S1901_C02_003E,S1901_C02_003M,S1901_C02_004E,S1901_C02_004M,S1901_C02_005E,S1901_C02_005M,S1901_C02_006E,S1901_C02_006M,S1901_C02_007E,S1901_C02_007M,S1901_C02_008E,S1901_C02_008M,S1901_C02_009E,S1901_C02_009M,S1901_C02_010E,S1901_C02_010M,S1901_C02_011E,S1901_C02_011M,S1901_C02_012E,S1901_C02_012M,S1901_C02_013E,S1901_C02_013M,S1901_C02_014E,S1901_C02_014M,S1901_C02_015E,S1901_C02_015M,S1901_C02_016E,S1901_C02_016M,S1901_C03_001E,S1901_C03_001M,S1901_C03_002E,S1901_C03_002M,S1901_C03_003E,S1901_C03_003M,S1901_C03_004E,S1901_C03_004M,S1901_C03_005E,S1901_C03_005M,S1901_C03_006E,S1901_C03_006M,S1901_C03_007E,S1901_C03_007M,S1901_C03_008E,S1901_C03_008M,S1901_C03_009E,S1901_C03_009M,S1901_C03_010E,S1901_C03_010M,S1901_C03_011E,S1901_C03_011M,S1901_C03_012E,S1901_C03_012M,S1901_C03_013E,S1901_C03_013M,S1901_C03_014E,S1901_C03_014M,S1901_C03_015E,S1901_C03_015M,S1901_C03_016E,S1901_C03_016M,S1901_C04_001E,S1901_C04_001M,S1901_C04_002E,S1901_C04_002M,S1901_C04_003E,S1901_C04_003M,S1901_C04_004E,S1901_C04_004M,S1901_C04_005E,S1901_C04_005M,S1901_C04_006E,S1901_C04_006M,S1901_C04_007E,S1901_C04_007M,S1901_C04_008E,S1901_C04_008M,S1901_C04_009E,S1901_C04_009M,S1901_C04_010E,S1901_C04_010M,S1901_C04_011E,S1901_C04_011M,S1901_C04_012E,S1901_C04_012M,S1901_C04_013E,S1901_C04_013M,S1901_C04_014E,S1901_C04_014M,S1901_C04_015E,S1901_C04_015M,S1901_C04_016E,S1901_C04_016M
5001600US0641,"Congressional District 41 (116th Congress), California",194947,1881,4.2,0.3,3.8,0.3,7.5,0.4,8.4,0.4,12.3,0.5,19.1,0.5,15.4,0.6,17.4,0.6,6.9,0.4,4.9,0.3,67246,1027,82398,991,44.8,(X),(X),(X),(X),(X),152743,1773,3.3,0.3,2.3,0.3,6.7,0.5,8.3,0.4,12.5,0.6,19.2,0.5,16.1,0.7,18.6,0.7,7.5,0.5,5.4,0.4,71524,1091,86755,1194,(X),(X),45.9,(X),(X),(X),104425,1730,1.3,0.2,1.2,0.2,4.1,0.4,6.7,0.5,11.2,0.6,19.6,0.7,17.3,0.8,22,0.9,9.6,0.7,7.1,0.5,82877,1276,99135,1628,(X),(X),(X),(X),(X),(X),42204,1347,10.7,1,10.5,1,12.5,1.2,11.4,1.1,13.2,1,16.6,1.3,11,1,9.4,0.9,2.6,0.5,2,0.5,40434,1476,54500,1700,(X),(X),(X),(X),34.7,(X)
5001600US0642,"Congressional District 42 (116th Congress), California",229094,1550,3.7,0.3,2.3,0.2,5.6,0.3,6.4,0.3,9.3,0.4,16.1,0.6,13.7,0.5,21,0.6,11.4,0.5,10.5,0.5,86229,839,106952,1470,39.7,(X),(X),(X),(X),(X),182375,1671,2.7,0.3,1.6,0.2,4.2,0.4,5.4,0.4,8.7,0.4,15.9,0.7,14.4,0.6,22.5,0.7,12.9,0.6,11.7,0.6,94070,1851,114231,1719,(X),(X),40,(X),(X),(X),143041,1874,1.4,0.2,1,0.2,3.1,0.4,4.3,0.3,7.2,0.4,15,0.7,14.4,0.7,24.4,0.8,15.1,0.7,14.1,0.7,105604,1725,125577,2120,(X),(X),(X),(X),(X),(X),46719,1510,9.8,1,6.1,0.7,12.2,1.1,11.3,1,11.9,1.1,17.6,1.3,10.2,1.1,12.8,1.2,4.7,0.7,3.5,0.7,48426,2089,67549,3127,(X),(X),(X),(X),34.6,(X)
5001600US0643,"Congressional District 43 (116th Congress), California",240342,1748,6.1,0.4,5.1,0.3,9.2,0.4,8.7,0.4,12.4,0.5,17.2,0.5,12.1,0.4,15.1,0.6,6.8,0.3,7.3,0.3,61277,832,84587,1186,38.6,(X),(X),(X),(X),(X),162729,1563,4.4,0.3,2.7,0.3,8.4,0.5,8.5,0.5,12.5,0.6,17.6,0.7,12.6,0.5,17,0.7,7.8,0.4,8.6,0.4,68083,1575,92163,1561,(X),(X),40.6,(X),(X),(X),99244,1525,2,0.3,1.4,0.3,5.7,0.5,6,0.5,10.4,0.6,16.6,0.9,13.9,0.7,21,0.9,10.4,0.6,12.5,0.7,88469,1832,110911,2302,(X),(X),(X),(X),(X),(X),77613,1725,10.9,1,10.6,0.7,12.5,0.7,10.3,0.7,12.3,0.9,15.6,0.8,10.2,0.7,10.1,0.9,3.9,0.6,3.8,0.5,41749,1350,63118,2415,(X),(X),(X),(X),32,(X)
5001600US0644,"Congressional District 44 (116th Congress), California",189691,1123,5.7,0.3,5.4,0.3,10.1,0.4,10.4,0.4,13.9,0.6,18.8,0.6,12.8,0.5,13.7,0.5,5.4,0.3,3.9,0.3,54894,831,71505,803,42,(X),(X),(X),(X),(X),149616,1325,4.7,0.4,3.4,0.3,9.7,0.5,10.5,0.5,14.4,0.7,19.4,0.7,13.6,0.6,14.3,0.6,5.9,0.4,4,0.3,58290,912,74468,932,(X),(X),43.5,(X),(X),(X),88756,1507,1.5,0.3,1.3,0.2,7.3,0.5,9,0.6,13.5,0.8,20.1,0.9,15.9,0.9,18.4,0.8,7.6,0.5,5.4,0.5,71275,1453,86716,1452,(X),(X),(X),(X),(X),(X),40075,1201,12.6,1.2,14.2,1.1,13.9,1.1,11.4,1,13.1,1,14.8,1.3,8.3,0.8,7.3,0.9,2.1,0.4,2.3,0.6,32510,1350,49772,1968,(X),(X),(X),(X),31.8,(X)
5001600US0645,"Congressional District 45 (116th Congress), California",276463,1697,4.9,0.3,2.4,0.2,4.1,0.2,4.5,0.3,6.9,0.4,12,0.5,11.8,0.5,19.4,0.6,13.6,0.4,20.5,0.5,107787,1487,139355,1822,34.4,(X),(X),(X),(X),(X),195866,1629,2.7,0.3,1.4,0.2,2.5,0.3,3.4,0.3,5.9,0.4,10.7,0.5,11.3,0.6,20.9,0.7,15.8,0.5,25.5,0.7,128050,1966,159643,2391,(X),(X),34.4,(X),(X),(X),159446,1669,1.7,0.2,1,0.2,1.7,0.3,2.5,0.3,4.9,0.5,9.2,0.6,10.7,0.5,21.1,0.8,17.7,0.6,29.4,0.8,142807,2432,174502,2787,(X),(X),(X),(X),(X),(X),80597,1936,10.9,0.8,5.1,0.5,8.2,0.7,7.7,0.7,9.6,0.8,15.7,1.1,12.9,0.8,15.8,1.1,7.4,0.8,6.7,0.6,62451,1526,84163,2696,(X),(X),(X),(X),32.7,(X)
5001600US0646,"Congressional District 46 (116th Congress), California",189429,1528,4,0.3,3.5,0.3,7.8,0.4,8.2,0.4,12.2,0.5,19.6,0.7,14.2,0.5,17.4,0.6,7.9,0.4,5.3,0.3,67333,1067,84718,1216,51.7,(X),(X),(X),(X),(X),144190,1487,3.2,0.4,2.4,0.3,7.5,0.5,8.5,0.5,13,0.7,19.6,0.7,14.5,0.6,17.8,0.7,8.1,0.4,5.4,0.4,68708,1194,85875,1278,(X),(X),51.6,(X),(X),(X),98382,1597,1.3,0.2,1.7,0.3,5.7,0.6,7.1,0.5,11.9,0.8,19.5,0.9,15.4,0.7,20.8,0.9,9.9,0.6,6.8,0.5,78478,1958,95952,1656,(X),(X),(X),(X),(X),(X),45239,1379,10,1.1,8.6,1,11.4,1.1,9.5,1,11.4,1,18.5,1.4,11.1,1,12.3,1,4.2,0.6,3.1,0.5,48490,2548,64847,2451,(X),(X),(X),(X),43.7,(X)
5001600US0647,"Congressional District 47 (116th Congress), California",244928,1222,5.2,0.3,4.3,0.3,7.9,0.4,8,0.4,10.9,0.5,16.4,0.6,13.3,0.4,16.3,0.5,8.4,0.3,9.2,0.3,70173,1158,93505,1108,37.7,(X),(X),(X),(X),(X),158675,1265,3.8,0.3,2.5,0.2,6.7,0.4,7.8,0.5,10.2,0.5,15.6,0.7,13.4,0.6,18,0.6,10.4,0.4,11.7,0.5,81005,1457,105330,1520,(X),(X),39,(X),(X),(X),108874,1607,1.4,0.3,1.6,0.2,5,0.4,5.8,0.5,8.6,0.5,14.3,0.7,13.6,0.7,20.8,0.8,13.1,0.6,15.7,0.7,99148,2059,123730,1989,(X),(X),(X),(X),(X),(X),86253,1609,9.4,0.6,8.2,0.6,11.2,0.7,9.2,0.6,12.4,0.8,17.5,1.1,12.3,0.7,11.8,0.7,4.3,0.5,3.7,0.4,49429,1586,65302,1619,(X),(X),(X),(X),33,(X)
5001600US0648,"Congressional District 48 (116th Congress), California",268356,1442,3.9,0.3,2.5,0.2,5.6,0.4,5.9,0.3,8.1,0.3,13.5,0.4,12.9,0.4,18.7,0.5,10.8,0.4,18.2,0.5,95238,1169,136138,2245,36.4,(X),(X),(X),(X),(X),175975,1437,2.3,0.2,1.3,0.2,4.3,0.4,5,0.4,7.6,0.4,12.3,0.6,12.1,0.4,19.6,0.7,12.7,0.5,22.7,0.7,111138,1971,156417,3124,(X),(X),37.4,(X),(X),(X),136934,1747,1.4,0.2,0.9,0.2,3,0.3,4,0.3,5.8,0.4,10.9,0.6,11.5,0.5,20.8,0.8,14.3,0.5,27.4,0.8,128140,1664,176074,3475,(X),(X),(X),(X),(X),(X),92381,2036,7.4,0.6,4.9,0.5,8.8,0.7,8.2,0.6,9.9,0.7,16.1,0.8,13.7,0.8,16.1,0.9,6.6,0.6,8.2,0.7,64579,1751,92005,3155,(X),(X),(X),(X),32.7,(X)
5001600US0649,"Congressional District 49 (116th Congress), California",256599,1840,3.3,0.3,2.2,0.2,5.3,0.3,6.2,0.4,9.2,0.4,14.6,0.5,12.1,0.6,17.7,0.6,11,0.5,18.4,0.5,93626,1611,132350,1873,32.3,(X),(X),(X),(X),(X),181386,1776,2.1,0.3,0.8,0.1,3.6,0.4,5.3,0.5,8.5,0.6,13.5,0.6,12,0.6,18.8,0.7,12.9,0.6,22.5,0.7,108868,2254,149474,2569,(X),(X),32.1,(X),(X),(X),145538,2082,1,0.2,0.4,0.1,2.2,0.3,4.2,0.6,7.3,0.5,12.1,0.7,11.6,0.6,19.8,0.8,14.6,0.7,26.7,0.8,125617,2280,166131,2851,(X),(X),(X),(X),(X),(X),75213,1970,7,0.7,5.7,0.7,9.9,0.8,9.3,0.8,11.8,0.7,17,1.2,12.5,1.1,14.1,1,5.3,0.6,7.4,0.7,57913,1864,84816,2517,(X),(X),(X),(X),30.3,(X)
5001600US0650,"Congressional District 50 (116th Congress), California",241764,1748,3.9,0.3,2.8,0.3,7,0.4,7.3,0.4,10.6,0.4,16.6,0.5,13.1,0.5,19.1,0.6,9.9,0.5,9.6,0.4,78174,1330,99417,1128,35.3,(X),(X),(X),(X),(X),179258,1619,2.7,0.3,1.8,0.3,5.2,0.4,6.2,0.4,9.7,0.6,16.7,0.5,13.9,0.6,21.2,0.6,11.4,0.6,11.2,0.5,88492,1424,109117,1347,(X),(X),35.2,(X),(X),(X),136911,1733,1.4,0.2,1,0.2,3.7,0.4,4.8,0.4,8.1,0.5,15.6,0.6,14.3,0.7,23.7,0.7,13.4,0.7,13.9,0.6,102086,1600,122171,1696,(X),(X),(X),(X),(X),(X),62506,1520,9.5,0.9,6.6,0.7,13.7,1,11.2,0.8,13.8,0.9,16.6,1,10.3,1,10.9,0.9,3.8,0.6,3.5,0.5,44211,1988,62008,1917,(X),(X),(X),(X),31.9,(X)
